iter	Logloss
0	0.6928056647
100	0.6623541277
200	0.6390737625
300	0.6212631033
400	0.6074645256
500	0.5966198454
600	0.5880301542
700	0.5811420657
800	0.5755402408
900	0.5709138945
1000	0.5670520246
1100	0.5637993758
1200	0.5609944017
1300	0.5585939239
1400	0.5565168515
1500	0.5547393718
1600	0.5531852433
1700	0.55180656
1800	0.5505800892
1900	0.5494894782
2000	0.548469741
2100	0.5475731462
2200	0.5467409427
2300	0.5459892575
2400	0.5452951613
2500	0.5446541384
2600	0.5440593697
2700	0.543496237
2800	0.5429553775
2900	0.5424687903
3000	0.5419971239
3100	0.5415512577
3200	0.5411296642
3300	0.5407335093
3400	0.5403396656
3500	0.539975811
3600	0.5396374538
3700	0.5393008721
3800	0.5389842799
3900	0.538676157
4000	0.5383809907
4100	0.5380947828
4200	0.5378159749
4300	0.5375592526
4400	0.5373168853
4500	0.5370698205
4600	0.5368220427
4700	0.5365944864
4800	0.536367544
4900	0.5361583668
5000	0.5359420219
5100	0.5357402474
5200	0.5355416998
5300	0.5353494526
5400	0.5351573434
5500	0.5349706813
5600	0.5347948477
5700	0.5346202992
5800	0.5344510813
5900	0.5342874656
6000	0.5341258462
6100	0.5339647315
6200	0.5338066501
6300	0.5336454208
6400	0.5334932023
6500	0.5333410924
6600	0.533200326
6700	0.5330563652
6800	0.5329108104
6900	0.5327750184
7000	0.5326374036
7100	0.5324967099
7200	0.5323620848
7300	0.5322288677
7400	0.5320972188
7500	0.5319661397
7600	0.5318428835
7700	0.5317141291
7800	0.5315907221
7900	0.5314690366
8000	0.5313471866
8100	0.5312317972
8200	0.5311101488
8300	0.5309920919
8400	0.5308775355
8500	0.5307596129
8600	0.5306437931
8700	0.5305273737
8800	0.5304181303
8900	0.5303043096
9000	0.5301901567
9100	0.5300840582
9200	0.5299790278
9300	0.5298748785
9400	0.5297666978
9500	0.5296589874
9600	0.5295507001
9700	0.529444064
9800	0.5293437061
9900	0.5292370257
9999	0.5291384257
